,text,tag,author,from_book
0,可是，在这个国家里，有一种方式能够让一切人生来平等——有一种社会机构可以让乞丐平等于洛克菲勒，让蠢人平等于爱因斯坦，让无知的人平等于任何大学的校长。这种机构，先生们，就是法庭。,法律,哈珀·李,《杀死一只知更鸟》
1,法律不等于正义，这是一种非常不完美的机制，如果你按对了钮，而且够幸运，正义也许会出现在答案中。法律意图担任的也只是一种机制而已。,法律,雷蒙德·钱德勒,《漫长的告别》
2,一次不公正的裁判，其恶果甚至超过十次犯罪。因为犯罪虽是无视法律--好比污染了水流，而不公正的审判则毁坏法律好比污染了水源。,法律,培根,
3,法无明文规定不为罪，法无明文规定不处罚。,法律,罗翔,
4,法益作为入罪的基础，伦理作为出罪的依据。,法律,罗翔,
