,text,tag,author,from_book
0,同性恋者是天生的，在世界的每个社会都会存在。,教师,希拉里,《佚名》
1,戏馆子是众人的大学堂，戏子是众人的大教师，世上人都是他们教训出来的。,教师,陈独秀,《陈独秀著作选编》
2,教师本身对学生来说，也是经验的一个对象，这个对象是直接的，同样也是丰富的；是的，在教学的时间中他们之间形成一种交际。,教师,赫尔巴特,《普通教育学》
3,在教师与学生两人之间，不需要第三者参加，常常在一起成为伟大而精选的伴侣。,教师,赫尔巴特,《普通教育学》
4,人类的目的是多方面的，教师所关心的也应该是多方面的。,教师,赫尔巴特,《普通教育学》
5,教师应该是道德卓异的的优秀人物。,教师,夸美纽斯,《大教学论》
